match_id,date,season,home_team,away_team,home_elo,away_elo,elo_diff,home_form_l5,away_form_l5,home_form_l5_home,away_form_l5_away,home_avg_goals_l10,away_avg_goals_l10,home_avg_conceded_l10,away_avg_conceded_l10,h2h_home_wins,h2h_draws,h2h_away_wins,h2h_total_matches,home_advantage,home_shots_efficiency_l10,away_shots_efficiency_l10,home_corner_dominance_l10,away_corner_dominance_l10,home_discipline_risk_l10,away_discipline_risk_l10,home_first_half_strength_l10,away_first_half_strength_l10,home_defensive_pressure_l10,away_defensive_pressure_l10,outcome
D1_20210813_M'gladbach_Bayern Munich,2021-08-13,2122,M'gladbach,Bayern Munich,1500.0,1500.0,0.0,0.5,0.5,0.5,0.5,1.3,1.3,1.3,1.3,0.33,0.33,0.33,0,0.3071,0.33,0.33,0.5,0.5,1.5,1.5,0.5,0.5,12.0,12.0,1
D1_20210814_Augsburg_Hoffenheim,2021-08-14,2122,Augsburg,Hoffenheim,1500.0,1500.0,0.0,0.5,0.5,0.5,0.5,1.3,1.3,1.3,1.3,0.33,0.33,0.33,0,0.3598,0.33,0.33,0.5,0.5,1.5,1.5,0.5,0.5,12.0,12.0,2
D1_20210814_Bielefeld_Freiburg,2021-08-14,2122,Bielefeld,Freiburg,1500.0,1500.0,0.0,0.5,0.5,0.5,0.5,1.3,1.3,1.3,1.3,0.33,0.33,0.33,0,0.3766,0.33,0.33,0.5,0.5,1.5,1.5,0.5,0.5,12.0,12.0,1
D1_20210814_Stuttgart_Greuther Furth,2021-08-14,2122,Stuttgart,Greuther Furth,1500.0,1500.0,0.0,0.5,0.5,0.5,0.5,1.3,1.3,1.3,1.3,0.33,0.33,0.33,0,0.4886,0.33,0.33,0.5,0.5,1.5,1.5,0.5,0.5,12.0,12.0,0
D1_20210814_Union Berlin_Leverkusen,2021-08-14,2122,Union Berlin,Leverkusen,1500.0,1500.0,0.0,0.5,0.5,0.5,0.5,1.3,1.3,1.3,1.3,0.33,0.33,0.33,0,0.3858,0.33,0.33,0.5,0.5,1.5,1.5,0.5,0.5,12.0,12.0,1
D1_20210814_Wolfsburg_Bochum,2021-08-14,2122,Wolfsburg,Bochum,1500.0,1500.0,0.0,0.5,0.5,0.5,0.5,1.3,1.3,1.3,1.3,0.33,0.33,0.33,0,0.5463,0.33,0.33,0.5,0.5,1.5,1.5,0.5,0.5,12.0,12.0,0
D1_20210814_Dortmund_Ein Frankfurt,2021-08-14,2122,Dortmund,Ein Frankfurt,1500.0,1500.0,0.0,0.5,0.5,0.5,0.5,1.3,1.3,1.3,1.3,0.33,0.33,0.33,0,0.5799,0.33,0.33,0.5,0.5,1.5,1.5,0.5,0.5,12.0,12.0,0
D1_20210815_Mainz_RB Leipzig,2021-08-15,2122,Mainz,RB Leipzig,1500.0,1500.0,0.0,0.5,0.5,0.5,0.5,1.3,1.3,1.3,1.3,0.33,0.33,0.33,0,0.2509,0.33,0.33,0.5,0.5,1.5,1.5,0.5,0.5,12.0,12.0,0
D1_20210815_FC Koln_Hertha,2021-08-15,2122,FC Koln,Hertha,1500.0,1500.0,0.0,0.5,0.5,0.5,0.5,1.3,1.3,1.3,1.3,0.33,0.33,0.33,0,0.4033,0.33,0.33,0.5,0.5,1.5,1.5,0.5,0.5,12.0,12.0,0
D1_20210820_RB Leipzig_Stuttgart,2021-08-20,2122,RB Leipzig,Stuttgart,1488.5,1511.5,-23.0,0.5,0.5,0.5,0.5,1.3,1.3,1.3,1.3,0.33,0.33,0.33,0,0.5851,0.33,0.33,0.5,0.5,1.5,1.5,0.5,0.5,12.0,12.0,0
